Year,Price,WinterRain,AGST,HarvestRain,Age,FrancePop
1952,1799.0247652934509,600,17.1167,160,31,43183.569
1953,3100.442121057554,690,16.7333,80,30,43495.03
1955,2177.2110459214914,502,17.15,130,28,44217.857
1957,1079.7663995394237,420,16.1333,110,26,45152.252
1958,877.6079783320737,582,16.4167,187,25,45653.805
1959,3215.377345243233,485,17.4833,187,24,46128.638
1960,677.7645796581006,763,16.4167,290,23,46583.995
1961,4883.90312569454,830,17.3333,38,22,47128.005
1962,1616.469937961524,697,16.3,52,21,48088.673
1963,822.7891738508257,608,15.7167,155,20,48798.99
1964,1494.2803519560127,402,17.2667,96,19,49356.943
1965,518.9460874372562,602,15.3667,267,18,49801.821
1966,2308.37709423715,819,16.5333,86,17,50254.966
1967,934.3022555908015,714,16.2333,118,16,50650.406
1968,514.6566606575188,610,16.2,292,15,51034.413
1969,570.1502941385411,575,16.55,244,14,51470.276
1970,1974.9532378165406,622,16.6667,89,13,51918.389
1971,1330.6196300770557,551,16.7667,112,12,52431.647
1972,495.16943652060445,536,14.9833,158,11,52894.183
1973,762.5743409065507,376,17.0667,123,10,53332.805
1974,541.3683955171387,574,16.3,184,9,53689.61
1975,1468.5047716948584,572,16.95,171,8,53955.042
1976,1237.8112772693198,418,17.65,247,7,54159.049
1977,522.5391974143417,821,15.5833,87,6,54378.362
1978,1320.8093874794633,763,15.8167,51,5,54602.193
1979,1047.4354217340872,717,16.1667,122,4,54835.832
1980,663.7463012261619,578,16,74,3,55110.236
